cosmosvaloper,cosmos,moniker,pubkey,address,cosmosvalcons,bonded,jailed,left_active_set,left_heights,joined_active_set,joined_heights,jailed_during_period,jailed_time,jailed_block,jailed_reason
cosmosvaloper16th5kz5fk4rlrhyu4ds7h5xmga30qjv6305lzm,cosmos16th5kz5fk4rlrhyu4ds7h5xmga30qjv65mq2wg,B-Harvest,LY5kYhS4ZjQBdMtP7fgZSdpLn54GGBashLVtFe4YsLg=,9D8088448B62C856EBF924F915021DFD054FD224,cosmosvalcons1nkqgs3ytvty9d6leynu32qsal5z5l53yswgnyq,False,True,False,,False,,False,,,
cosmosvaloper1s685wh6f53e29zd3e77yw0z4spd2zrvfx5dv3a,cosmos1s685wh6f53e29zd3e77yw0z4spd2zrvfrqeeaw,Batman2504,n7zgRmGkb+0AEp+zuWtju5xehdl8wMxNBBFz22ZoxNk=,F370A7B0931E034C03291D87835ED0C3233C17A6,cosmosvalcons17dc20vynrcp5cqefrkrcxhkscv3nc9ax6kxzhg,False,True,False,,False,,False,,,
cosmosvaloper1f8hj85a6plhg4u6dewlrzzmeprrkxzjrk67t7v,cosmos1f8hj85a6plhg4u6dewlrzzmeprrkxzjrnw27jl,billy,QmutGFKtRLK8fjsvOqDmU/ZzYbOaiMWbEEbmtTnl1LA=,14A2D94035B0A7C6E5A2CD468F753D57DDBEBF33,cosmosvalcons1zj3djsp4kznudedze4rg7afa2lwma0enwcza7l,False,False,True,18885269,True,18876268,False,,,
cosmosvaloper1683ftalhc9w5zs0mfhghne8ykj2rsc4tvqjp8x,cosmos1683ftalhc9w5zs0mfhghne8ykj2rsc4tf5x5t4,BitValidator,v2tStvQMI6+lpFm6dcoBEZGluVRBvsI4debSGskxBl8=,0F80E7B5E21E396AA746E4A4A3C5941CDE56ADE8,cosmosvalcons1p7qw0d0zrcuk4f6xujj283v5rn09dt0g27uklp,False,True,False,,False,,False,,,
cosmosvaloper1jefjdzcjn8ht0fjaymgnp4us2tcrux78r3s7sd,cosmos1jefjdzcjn8ht0fjaymgnp4us2tcrux78x9ytu7,black,N3cPYYd4vahmk+8B5vfR9J7DGuqRd7euWDXB8VkguvE=,A3F72F07BBB70EAFB48285AFE097B188B9EB53EC,cosmosvalcons150mj7pamku82ldyzskh7p9a33zu7k5lvj2hdt7,False,True,False,,False,,False,,,
cosmosvaloper1jl85yd70rx9pq0pk3520nehhvnmaf5n8x3uc73,cosmos1jl85yd70rx9pq0pk3520nehhvnmaf5n8r9gdjz,Blockdaemon,Z8ftJeEUMt1ueEiqw8tnbRP7MMkYpliKG+owmHHN02U=,F0AE0CDAD87DA802D0E047AF033A1EC24001496F,cosmosvalcons17zhqekkc0k5q958qg7hsxws7cfqqzjt02p5ss5,False,True,False,,False,,False,,,
cosmosvaloper1zj766mrv6vlr8urnn9pmuuxrle63la7lcjlumd,cosmos1zj766mrv6vlr8urnn9pmuuxrle63la7laxtfh7,BlockHunters,OdrYRD/AVzIoZFNPYkypezqAjDCw8VUd58h164f6RUY=,ADDDB8BFD39FF5DE14FCB655FFBEAD5FE8C97F36,cosmosvalcons14hwm307nnl6au98uke2ll04dtl5vjlek9jultc,False,True,False,,False,,False,,,
cosmosvaloper1xtclm74k5hudvujyul70lyeuak30tl9hxcwz7f,cosmos1xtclm74k5hudvujyul70lyeuak30tl9hrv6hj6,BlockHunters 🎯,S6N8Q1n204UwyPR16TYpOm4jbgg+9cDWiYrs3HvnBa0=,90E878E72849980A48B2516658B9F37097A8BB13,cosmosvalcons1jr583eegfxvq5j9j29n93w0nwzt63wcn80zhjg,False,True,False,,False,,False,,,
cosmosvaloper16nkm45xzkh600mscxdmwzql054y4xe0nuawrsq,cosmos16nkm45xzkh600mscxdmwzql054y4xe0nef6kun,Blockpower,9OqYVsN/2KjWHMSVz5TfsKoQJxrZJGhMw5hBTuiG1gE=,46E3688C6C7B114ABEAD6681F97B54F3077043CB,cosmosvalcons1gm3k3rrv0vg5404dv6qlj7657vrhqs7tef4n7t,False,True,False,,False,,False,,,
cosmosvaloper1l9k5qa9f7xn5r6ral8jfwkw38nfuqu7whgc8k6,cosmos1l9k5qa9f7xn5r6ral8jfwkw38nfuqu7wjuvj6f,Blockpower Capital,fUj2rJ8mWqSdo8FX47dhWni++/oxOSduCBgymD4GCiU=,CC05882978FC5FDD6A7721687E14C0299AE004B8,cosmosvalcons1eszcs2tcl30a66nhy958u9xq9xdwqp9c65dnm6,False,True,False,,False,,False,,,
cosmosvaloper14rv46905kfxnnsnv7sv8sllkxtf0pd6pyfnmht,cosmos14rv46905kfxnnsnv7sv8sllkxtf0pd6ppa8wmc,BLOSAFE,TMCU8vO12hBtY5Qi78ZgvNqT2rIqAHbUra0FR/E46Sw=,015C0BF06DDBA1E057E5C233928AF74993622694,cosmosvalcons1q9wqhurdmws7q4l9cgee9zhhfxfkyf55pnnx0x,False,True,False,,False,,False,,,
cosmosvaloper1mgdt8rxxkqz0k2f80lsxq47xr8knwmxk7kdjt9,cosmos1mgdt8rxxkqz0k2f80lsxq47xr8knwmxkmze88k,bob,BtMoY1hvXlmnedpwnXCGSwZHeixnj+bETXAx3qe8XbA=,754039B60DD6D0E73E5715207BE9CBB3DD454B1D,cosmosvalcons1w4qrndsd6mgww0jhz5s8h6wtk0w52jcauf603f,False,True,False,,False,,False,,,
cosmosvaloper18mgv4y086d6c3pfd6te77udd4z5da0etlaxl7d,cosmos18mgv4y086d6c3pfd6te77udd4z5da0et6fj2j7,bttr-validator,V3eFOFcWkobaVAqEuNJX7um67tWFkClsZe8yzf7k2XQ=,055D6EE704174CA2A390AEAC831E1E0E9677344B,cosmosvalcons1q4wkaecyzax29gus46kgx8s7p6t8wdztt0n62n,False,True,False,,False,,False,,,
cosmosvaloper1td20kwadsp2v6fd0up4lpj0924d2du5uzdd0tl,cosmos1td20kwadsp2v6fd0up4lpj0924d2du5u8ee68v,cake 🍰,PbXyz1Yiv7rRih4GaYimqkpSueW0AjrXL2E0WrxO+So=,BF6437C4CA19B954BD9F36028D4C175379A341EA,cosmosvalcons1hajr03x2rxu4f0vlxcpg6nqh2du6xs023nw5ty,False,True,False,,False,,False,,,
cosmosvaloper1px6cnaw3seh34kgpw82m0kl47zz7420t4cpac5,cosmos1px6cnaw3seh34kgpw82m0kl47zz7420tsv4g58,cardex,qS5xYxDbddIAdiGKfTtny7WescbTjOa2bFp3F4gW6pw=,8113052F95A5064F1A04E4447AF63804545142B6,cosmosvalcons1syfs2tu455ry7xsyu3z84a3cq329zs4kdrt943,False,True,False,,False,,False,,,
cosmosvaloper1mmluak7cwdvvnnfl88v6r3ymxvflfwkxxrh97h,cosmos1mmluak7cwdvvnnfl88v6r3ymxvflfwkxrhrsjy,casper,oyRM8sH9MR9agA5gZrntbhx+zvXnge9CtAlrMnCv5I0=,6C77CBFD4A97DA7B838F87E83A211AF66FAF5662,cosmosvalcons1d3muhl22jld8hqu0sl5r5gg67eh674nzyrw9t5,False,True,False,,False,,False,,,
cosmosvaloper1atxvrzmkwcvvtp80erqgdtw3z45q4mfk49v52x,cosmos1atxvrzmkwcvvtp80erqgdtw3z45q4mfks3cpx4,Chainflow,i4rdrR3JKHeOx9eZ86WBv6aNgFTGdRIby1FXax3qVi8=,FF11342EC78FA38376F228A89D1D92F683C6DDC8,cosmosvalcons1lugngtk8373cxahj9z5f68vj76pudhwgn9jnrs,False,True,False,,False,,False,,,
cosmosvaloper18trtetwlrwyaw79dk288wxg9dk47hwe7lmlrdh,cosmos18trtetwlrwyaw79dk288wxg9dk47hwe760tkpy,ChainLayer,HBBpviJS+EpRiisMQRQagNflsFwJa1zC7ElfzMgrymk=,BF7F8E2986D59323C1D7B8974E325E13CB832668,cosmosvalcons1halcu2vx6kfj8swhhzt5uvj7z09cxfnghu2uja,False,True,False,,False,,False,,,
cosmosvaloper1vtpr8re2vc9jaake2sw799te6hmn9sgsl63dxz,cosmos1vtpr8re2vc9jaake2sw799te6hmn9sgs6w9c23,CharlesHoskinson,t2AN9fSAU6d9keHZaHzTcmMkY9mLKhh5tfRPVrX+USs=,6A5EE09C311E601B7ABB541354516079E1F33CA0,cosmosvalcons1df0wp8p3respk74m2sf4g5tq08slx09qrp0m97,False,True,False,,False,,False,,,
cosmosvaloper1cx78sf0ulneyn0af4efrlf4zhppwr7kpuq77je,cosmos1cx78sf0ulneyn0af4efrlf4zhppwr7kpe52t72,Chicharito,+9uAmdQIVlewLmeRTUvX1veHllZM4+ijwmZxQpoUP2I=,14A0C9BE4E41DA0836804D1B0AC36DE21F885322,cosmosvalcons1zjsvn0jwg8dqsd5qf5ds4smdug0cs5ez2u0yjs,False,True,False,,False,,False,,,
cosmosvaloper1nur8afu88xuvfckxvnfu7x4xcjjlstu8zvlzl7,cosmos1nur8afu88xuvfckxvnfu7x4xcjjlstu88cthnd,Chill Validation,3zs0Ub3UfDjmryKGeA5tN1NUCY4KI1ok7NSkwIAWI8Q=,38323AFA52D9186A6B7D3C5CB9B4978DED7385FB,cosmosvalcons18qer47jjmyvx56ma83wtndyh3hkh8p0m2f3mxp,False,True,False,,False,,False,,,
cosmosvaloper152pp9xcs4qruu3kc0memwcm9cl7e4flw6yl8ws,cosmos152pp9xcs4qruu3kc0memwcm9cl7e4flwlstjzr,Citadel.one,2C4p/SeZLhaDlW1lNwp7ZCzQ36uWdLS0VevM/K5+2H8=,34E7B16662759976797EAED2F9BD80F54ED6543D,cosmosvalcons1xnnmzenzwkvhv7t74mf0n0vq748dv4pa2kryep,False,True,False,,False,,False,,,
cosmosvaloper1cpuqasex9ph7ph8nvvn4qcvhh4xarsfvy2r0tz,cosmos1cpuqasex9ph7ph8nvvn4qcvhh4xarsfvp7h683,Citadel.one,JJSbrL4Dx4k+wh0ALUFb17MT1X3Fsa5p90sM5XnvLAs=,08BE4FCC155239A3B029207F56C8732EAF0DE368,cosmosvalcons1pzlylnq42gu68vpfypl4djrn96hsmcmgf70k0k,True,False,False,,True,18903081,False,,,
cosmosvaloper1ldwdffhp0zgcfqd74u7w7dmjlsu9dxegpu4wj2,cosmos1ldwdffhp0zgcfqd74u7w7dmjlsu9dxegygpm7e,cmh,6/VgPZL7r1nGJz+UYCHpVNa1YZS/Yu509XeJ/JGl/IY=,B93FBCE23E7DDA2B901444EE0D52438FB7A1F5F2,cosmosvalcons1hylmec370hdzhyq5gnhq65jr37m6ra0j0v8dg4,False,True,False,,False,,False,,,
cosmosvaloper1gqrcl0enm2jhsjzgaft3zqvxn9ht4qavny64vc,cosmos1gqrcl0enm2jhsjzgaft3zqvxn9ht4qavkswqqt,cmh2,f1Q3CNXL8b/GP25xqvkN2NL6nafhP9sYLIzXB3ZKWpc=,1E65419917CE81855A67B54AFB93633D95FBD268,cosmosvalcons1rej5rxghe6qc2kn8k490hymr8k2lh5nga9gru3,False,True,False,,False,,False,,,
cosmosvaloper1lhnegwyyafwygymrkznmcxtdr5p259ktgpemw3,cosmos1lhnegwyyafwygymrkznmcxtdr5p259ktd4dwzz,Coinbase Cloud,njomv7MuhndEPwArzFptzNfJ5Fed9XzHwoTqaZH9gy8=,25E3A809AAA06850C20A6554370D466C8BD542F4,cosmosvalcons1yh36szd25p59pss2v42rwr2xdj9a2sh5k9xs39,False,True,False,,False,,False,,,
cosmosvaloper1f5s56lcq46zat27v8l484958es5wrr8sx06tm9,cosmos1f5s56lcq46zat27v8l484958es5wrr8srmw7hk,coinhall.org 📈🔄,uz8FRj+MrmoKO9RuOYRVGaRp1AXIrxshfjEbVBt8lOw=,5131E54ECB1E83EDB293C4D3F18E09AE8EBC9DC0,cosmosvalcons12yc72nktr6p7mv5ncnflrrsf468te8wqqf9gvp,False,True,False,,False,,False,,,
cosmosvaloper1d8ks83q0e3ehs86ds5xt7rm68ma2g357yq3xht,cosmos1d8ks83q0e3ehs86ds5xt7rm68ma2g357p59nmc,coinhall.org 📈🔄,jJeQy0IOBQp6CgfRR9NoZ891VpSc3WzT6qdaxgy8uNs=,223121D8EAD11F5582D04A09BD07BAFC4F0D7D79,cosmosvalcons1ygcjrk826y04tqksfgym6pa6l38s6lte0uk2jj,False,True,False,,False,,False,,,
cosmosvaloper10jt73m3mlkmsqsys7jl7aktzj9nsdrgxxvy4j5,cosmos10jt73m3mlkmsqsys7jl7aktzj9nsdrgxrcsq78,Colossus,FlcZ1L5kvTi6h8xXzlL+I2MBNmvCu7fxvtgPK4NOFEs=,4BDB694082123CB4E893102011798C5D82121BA5,cosmosvalcons1f0dkjsyzzg7tf6ynzqspz7vvtkppyxa9pw6ng0,False,True,False,,False,,False,,,
cosmosvaloper1e52537uh92yw44vv25h73m6wvu9m5ms0fs2ez8,cosmos1e52537uh92yw44vv25h73m6wvu9m5ms0vy7vw5,Commercio.network,3cHpR8OPUXA6WoLu4tNIURTDuhlMZMzd71YzOzdL3Vc=,71E80FFDD77657AD986FABCC68EE7424C1AB5E4C,cosmosvalcons1w85qllwhwet6mxr040xx3mn5ynq6khjve8a9gg,False,True,False,,False,,False,,,
cosmosvaloper1pqdcgaa42ugctkwue8jtz2mfvh6yjqzem46fn4,cosmos1pqdcgaa42ugctkwue8jtz2mfvh6yjqze7pwulx,Commons Hub,uSdKBTUfYN4ekUyXOxi5gmq282WK99dfUqww962s/YU=,211BB184AA199F970A6A6850152A1FDE028EFBD9,cosmosvalcons1yydmrp92rx0ewzn2dpgp22slmcpga77elnx2k7,False,True,False,,False,,False,,,
cosmosvaloper12cxqd3v99r0kfxlwkqcfyptw0pwqpjc24rnz8c,cosmos12cxqd3v99r0kfxlwkqcfyptw0pwqpjc2sh8htt,Commons Hub,ZOy870kY5bIjIQXC5cpEb65SGmw081i//G7xIsdbZTU=,F18120EEC30FDDBCED882EE0CCC7374BA61622BC,cosmosvalcons17xqjpmkrplwmemvg9msve3ehfwnpvg4usjalut,False,True,False,,False,,False,,,
cosmosvaloper1wlefeez2ptwa86m94v2ayjqmvsy9xw27hsn368,cosmos1wlefeez2ptwa86m94v2ayjqmvsy9xw27jy8yk5,Commons Hub Validator rs-testnet,aPebu5ij0JhR0bn0ws87k0+0q4lFtoP3cCGfCtP9yFw=,96DD78C37BC1AC2B01005E6FD08A65171C8D6F27,cosmosvalcons1jmwh3smmcxkzkqgqtehapzn9zuwg6me8xum04q,False,True,False,,False,,False,,,
cosmosvaloper1e4sfsvkarnst29zrm392x62mz576qxezjzkcjz,cosmos1e4sfsvkarnst29zrm392x62mz576qxezhkzd73,Cosmos Spaces,kS3QmKFGB7J7dXp8cvLNKoSVipncGY80/3isQlEfik8=,8D46660E68A1092EDFE359E57383EF894DE6CA75,cosmosvalcons134rxvrng5yyjahlrt8jh8ql039x7djn4xx53cc,False,True,False,,False,,False,,,
cosmosvaloper1g9huell9tvekqwy08yhlgn388ev8t99m7gc40d,cosmos1g9huell9tvekqwy08yhlgn388ev8t99mmuvqr7,cosmos-provider-k8s-test-1,NET/lD//VXCMG1bqZ+YmGKqQ6cKt6wbKASokBI4mf18=,966C08DFDAA78B4ECF25A81D8F47666A15C3E623,cosmosvalcons1jekq3h765795ane94qwc73mxdg2u8e3r8kacu8,False,True,False,,False,,False,,,
cosmosvaloper1eky4ujx8qceta9h28rahsv4lykeqaut927a4vt,cosmos1eky4ujx8qceta9h28rahsv4lykeqaut902fqqc,cosmos-provider-sk,KoN6xmWhd6PwH3AJOj63Zlecg+jGJXnvOCfmZNRvJcc=,DD974D31C024354EA66180B3DB52BDF3866991D5,cosmosvalcons1mkt56vwqys65afnpszeak54a7wrxnyw4a979mk,False,True,False,,False,,False,,,
cosmosvaloper1kpf5gm4f0d9uvqk4mat4wtx46eklg80uu5h6xz,cosmos1kpf5gm4f0d9uvqk4mat4wtx46eklg80ueqr023,cosmos-testnet,oR++niGFgATx8PhYsaS6CqXGH7UaOsHsrHr+W2yBROE=,4100E9F35BEDA92C5DE1240D561038A4E1785B09,cosmosvalcons1gyqwnu6mak5jch0pysx4vypc5nshskcfmvrjpp,False,True,False,,False,,False,,,
cosmosvaloper1ljv9k06wpms9pq9wkfwyvdj0x8chz22ct0sayc,cosmos1ljv9k06wpms9pq9wkfwyvdj0x8chz22cwmyggt,CosmosEdge2,N6Xrn+2IBcxnfsBXqeKrGavjnHfw1c6RlrYSKi3mkU0=,8AF40A828673AA9160A8C909DC901BAA02923C7D,cosmosvalcons13t6q4q5xww4fzc9geyyaeyqm4gpfy0ra5szefx,False,True,False,,False,,False,,,
cosmosvaloper16mdmdqa40tgtc7qzp2r48td7jk9lxjejzyznv3,cosmos16mdmdqa40tgtc7qzp2r48td7jk9lxjej8skxqz,cosmoshub-testnet,/bpk3Y3O3Xertll8U+FAn0u4nG++a/NC/3umog1jLzo=,CB811ABA24E7D8098BB46FA50840C5B5B5BA19DE,cosmosvalcons1ewq34w3yulvqnza5d7jsssx9kk6m5xw74vhg7z,False,True,False,,False,,False,,,
cosmosvaloper1ttdurc6plu5yrjuyxfmvkvecfs7rttg2kj0vmv,cosmos1ttdurc6plu5yrjuyxfmvkvecfs7rttg2nxmehl,cosmosnetwork,hUPruXVwh4R120nQuOY7TZ/uMRWSLPnq2L08e/xvJsA=,E56CE17678F62E7A6A8542ECAC475E4D962C186A,cosmosvalcons1u4kwzanc7ch85659gtk2c367fktzcxr2xm9p97,False,True,False,,False,,False,,,
cosmosvaloper1mnme22lrs5skkwxup8wn2r22uag48zup0kj7jr,cosmos1mnme22lrs5skkwxup8wn2r22uag48zup2zxt7s,cosmospl,LKAf+GIg3ssmlzVUcEc+DBfN6z4Stw+8Fi3dYvSyRDc=,AB892A41205EEAE28E54A91380B1FDCBE1F45899,cosmosvalcons14wyj5sfqtm4w9rj54yfcpv0ae0slgkyew642cy,False,True,False,,False,,False,,,
cosmosvaloper1kek8tvpq5u0ypzzm7m82yqm99d4fhyz7cp99qk,cosmos1kek8tvpq5u0ypzzm7m82yqm99d4fhyz7a43sv9,cosmosq,j2aYpET1ud9jRCBYQBWC9Aussjn7DFLHVPnRB6MAj9I=,28A241F9427269F1F6F52E7E4C8BB94205A61A61,cosmosvalcons19z3yr72zwf5lrah49elyezaeggz6vxnp7pwyge,False,True,False,,False,,False,,,
cosmosvaloper1x5wgh6vwye60wv3dtshs9dmqggwfx2ldk5cvqu,cosmos1x5wgh6vwye60wv3dtshs9dmqggwfx2ldnqvev0,Cosmostation,LKwKvQPVTwxwW4UDpyIvGW8Sa9sUdaxhhhVdOigrEyA=,01458B61F0D7DE6E90798FE8C370413D718EB34C,cosmosvalcons1q9zckc0s6l0xayre3l5vxuzp84ccav6vt5qy8s,False,True,False,,False,,False,,,
cosmosvaloper1w32d5qvp9y72a2cdz4qwm437yptdpuf8tgk245,cosmos1w32d5qvp9y72a2cdz4qwm437yptdpuf8wuzle8,crosnest,ICV07EGHxWrRHr06rP5bWhhCohwdKuVL+YTvWZRt3iY=,65470E95FC2067E862BE2B854DD73A22D0B1C236,cosmosvalcons1v4rsa90uypn7sc479wz5m4e6ytgtrs3kvzm5dz,False,True,False,,False,,False,,,
cosmosvaloper1mvy0jyf2rqt72sa66u30hhpfss0zary6rlq4td,cosmos1mvy0jyf2rqt72sa66u30hhpfss0zary6xt5q87,CroSSofDeath_Cosmos,QXFnCsABTHqECUI0MONP7e6JBq4B3FnNR2fHc82B448=,2756E9B17F49327F904AA6A4EB6585462351BC7D,cosmosvalcons1yatwnvtlfye8lyz256jwkev9gc34r0ra0y8924,False,True,False,,False,,False,,,
cosmosvaloper1fu4njsf8mw82nuwlvffhrpx5xy46p4l2te9k56,cosmos1fu4njsf8mw82nuwlvffhrpx5xy46p4l2wd3rcf,cudt,MiudDjMgtxqhfwSstKLchcQA6Tsc/H1S+E078JB4Es4=,295F0A2A3068AE3E39232F464B902FD6A8D81A49,cosmosvalcons1990s523sdzhruwfr9aryhyp0665dsxjfx5ucjf,False,True,False,,False,,False,,,
cosmosvaloper12jrdr3s9f2v6h3h8wzl5c32v77cmhs2jzrgnqj,cosmos12jrdr3s9f2v6h3h8wzl5c32v77cmhs2j8huxvp,Cypher Core,rdCi2PnIcauIRUoFBMGTE7cpHpCCviOps0x3POXCZtQ=,381A40FFD22300DFC5215242A86BAF35B45143ED,cosmosvalcons18qdypl7jyvqdl3fp2fp2s6a0xk69zsldyjxrrg,False,True,False,,False,,False,,,
cosmosvaloper1wlqc024ypfpk7la0eytxey98yule47e69p2ghy,cosmos1wlqc024ypfpk7la0eytxey98yule47e6q47amh,CypherNetworks,ctOxBZK9fLME7GDgqEb0OMlQBxl3TbrQTbdpNw7TSOw=,34B3C7EC1E47F41DE1934F13D114A2C3758BCD46,cosmosvalcons1xjeu0mq7gl6pmcvnfufaz99zcd6chn2x2afvpn,False,True,False,,False,,False,,,
cosmosvaloper17n9704yexlukwussavna33n8ku0fjq4zv0ya5e,cosmos17n9704yexlukwussavna33n8ku0fjq4zfmsgc2,danku_zone w/ DAIC,nYT0peOGX9fJdMgvzrswyASSDgB5aunyQp6cpQYNjCU=,E2984D8FCB486779AA408DD749949F46305C5872,cosmosvalcons1u2vymr7tfpnhn2jq3ht5n9ylgcc9ckrj9dr0d8,False,True,False,,False,,False,,,
cosmosvaloper1dh9d765360s2tchv7ezwnhqkweyyhwzfnfr8hg,cosmos1dh9d765360s2tchv7ezwnhqkweyyhwzfkahjmm,Decommissioned,iJIqFb/77Mx0u6Xjb/HCtoe5/6ikq8qPkdMW+VvgMPI=,6B393E5CC75471920603A932EE4CA26F33EE2381,cosmosvalcons1dvunuhx823ceypsr4yewun9zdue7ugupc9r0vp,False,True,False,,False,,False,,,
